ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.536198079681790191e-03,-2.227661341539070058e-04,8.951401981164050170e+00
3.535845645251697259e-03,-2.282918794562540645e-04,8.956040378850637751e+00
3.535484386880372552e-03,-2.338199294247142663e-04,8.960214936768567284e+00
3.535114311401859818e-03,-2.393499834819567094e-04,8.963972038894704397e+00
3.534735425476172310e-03,-2.448817697478488644e-04,8.967353430808227444e+00
3.534347735569638368e-03,-2.504150421696551719e-04,8.970396683530397652e+00
3.533951247941008022e-03,-2.559495779391881502e-04,8.973135610980351728e+00
3.533545968632402067e-03,-2.614851751682224236e-04,8.975600645685307910e+00
3.533131903464269228e-03,-2.670216507963559232e-04,8.977819176919771493e+00
3.532709058033673116e-03,-2.725588387080784668e-04,8.979815855030787830e+00
3.532277437715306175e-03,-2.780965880381313466e-04,8.981612865330701467e+00
3.531837047664697186e-03,-2.836347616463355753e-04,8.983230174600624451e+00
3.531387892823189493e-03,-2.891732347449428760e-04,8.984685752943555315e+00
3.530929977924296154e-03,-2.947118936632615741e-04,8.985995773452193802e+00
3.530463307501125868e-03,-3.002506347358310681e-04,8.987174791909968263e+00
3.529987885894588211e-03,-3.057893633017930504e-04,8.988235908521964745e+00
3.529503717262170472e-03,-3.113279928043391964e-04,8.989190913472761224e+00
3.529010805587081811e-03,-3.168664439802305216e-04,8.990050417928479476e+00
3.528509154687602123e-03,-3.224046441303800954e-04,8.990823971938624481e+00
3.527998768226523266e-03,-3.279425264633950262e-04,8.991520170547754987e+00
3.527479649720541288e-03,-3.334800295047801689e-04,8.992146749295972796e+00
3.526951802549552380e-03,-3.390170965652386037e-04,8.992710670169369536e+00
3.526415229965750627e-03,-3.445536752621584107e-04,8.993218198955425180e+00
3.525869935102488549e-03,-3.500897170889674041e-04,8.993674974862877036e+00
3.525315920982851400e-03,-3.556251770275682070e-04,8.994086073179582641e+00
3.524753190527921392e-03,-3.611600131995454789e-04,8.994456061664617863e+00
3.524181746564701481e-03,-3.666941865522677026e-04,8.994789051301149030e+00
3.523601591833685695e-03,-3.722276605763934838e-04,8.995088741974027968e+00
3.523012728996073421e-03,-3.777604010516413748e-04,8.995358463579616881e+00
3.522415160640615921e-03,-3.832923758179968151e-04,8.995601213024647436e+00
3.521808889290098561e-03,-3.888235545698106471e-04,8.995819687525175468e+00
3.521193917407468288e-03,-3.943539086705015375e-04,8.996016314575649986e+00
3.520570247401608090e-03,-3.998834109857997746e-04,8.996193278921079894e+00
3.519937881632761913e-03,-4.054120357336781291e-04,8.996352546831964503e+00
3.519296822417636479e-03,-4.109397583493014090e-04,8.996495887951761361e+00
3.518647072034183053e-03,-4.164665553634909196e-04,8.996624894959579066e+00
3.517988632726060019e-03,-4.219924042933535097e-04,8.996741001266613580e+00
3.517321506706820936e-03,-4.275172835438571014e-04,8.996845496942945886e+00
3.516645696163805956e-03,-4.330411723192578786e-04,8.996939543051643895e+00
3.515961203261780410e-03,-4.385640505433941339e-04,8.997024184549472281e+00
3.515268030146314476e-03,-4.440858987879587054e-04,8.997100361897517828e+00
3.514566178946926939e-03,-4.496066982079529521e-04,8.997168921510759532e+00
3.513855651780008627e-03,-4.551264304836032787e-04,8.997230625162675466e+00
3.513136450751533791e-03,-4.606450777680924538e-04,8.997286158449401938e+00
3.512408577959568942e-03,-4.661626226405269193e-04,8.997336138407455053e+00
3.511672035496604324e-03,-4.716790480636119773e-04,8.997381120369700724e+00
3.510926825451704536e-03,-4.771943373455684299e-04,8.997421604135723783e+00
3.510172949912503896e-03,-4.827084741058627914e-04,8.997458039525145779e+00
3.509410410967044817e-03,-4.882214422443703020e-04,8.997490831375623443e+00
3.508639210705481303e-03,-4.937332259136290556e-04,8.997520344041054940e+00
3.507859351221639770e-03,-4.992438094938729922e-04,8.997546905439941511e+00
3.507070834614475774e-03,-5.047531775705682046e-04,8.997570810698940491e+00
3.506273662989398045e-03,-5.102613149142006454e-04,8.997592325432041349e+00
3.505467838459502741e-03,-5.157682064620902618e-04,8.997611688691829812e+00
3.504653363146700146e-03,-5.212738373020287582e-04,8.997629115625640495e+00
3.503830239182757246e-03,-5.267781926575593838e-04,8.997644799866069576e+00
3.502998468710249655e-03,-5.322812578747319933e-04,8.997658915682453795e+00
3.502158053883445456e-03,-5.377830184101891828e-04,8.997671619917200658e+00
3.501308996869111415e-03,-5.432834598204467833e-04,8.997683053728474434e+00
3.500451299847250237e-03,-5.487825677522516167e-04,8.997693344158619766e+00
3.499584965011784485e-03,-5.542803279339082040e-04,8.997702605545752519e+00
3.498709994571181509e-03,-5.597767261674761958e-04,8.997710940794169332e+00
3.497826390749022001e-03,-5.652717483217528736e-04,8.997718442517745885e+00
3.496934155784523889e-03,-5.707653803259616840e-04,8.997725194068962651e+00
3.496033291933026751e-03,-5.762576081640756812e-04,8.997731270465060049e+00
3.495123801466429835e-03,-5.817484178697129946e-04,8.997736739221545932e+00
3.494205686673589745e-03,-5.872377955215458837e-04,8.997741661102384825e+00
3.493278949860696876e-03,-5.927257272391741553e-04,8.997746090795139651e+00
3.492343593351603277e-03,-5.982121991794139403e-04,8.997750077518618994e+00
3.491399619488137068e-03,-6.036971975329619286e-04,8.997753665569749870e+00
3.490447030630378696e-03,-6.091807085213968992e-04,8.997756894815768902e+00
3.489485829156920710e-03,-6.146627183944852616e-04,8.997759801137183544e+00
3.488516017465098477e-03,-6.201432134277580803e-04,8.997762416826459386e+00
3.487537597971207895e-03,-6.256221799203369243e-04,8.997764770946806934e+00
3.486550573110696206e-03,-6.310996041929778583e-04,8.997766889655119726e+00
3.485554945338341544e-03,-6.365754725863165524e-04,8.997768796492600529e+00
3.484550717128412096e-03,-6.420497714592913107e-04,8.997770512646333430e+00
3.483537890974817020e-03,-6.475224871877288376e-04,8.997772057184691974e+00
3.482516469391236553e-03,-6.529936061630729023e-04,8.997773447269215907e+00
3.481486454911245608e-03,-6.584631147912458184e-04,8.997774698345287092e+00
3.480447850088420458e-03,-6.639309994916252821e-04,8.997775824313752224e+00
3.479400657496445858e-03,-6.693972466961288720e-04,8.997776837685369955e+00
3.478344879729198310e-03,-6.748618428483918984e-04,8.997777749719826801e+00
3.477280519400832368e-03,-6.803247744030322059e-04,8.997778570550835298e+00
3.476207579145853925e-03,-6.857860278249913039e-04,8.997779309298746142e+00
3.475126061619188307e-03,-6.912455895889449940e-04,8.997779974171864481e+00
3.474035969496239249e-03,-6.967034461787757977e-04,8.997780572557671164e+00
3.472937305472945709e-03,-7.021595840871030624e-04,8.997781111104895757e+00
3.471830072265828706e-03,-7.076139898148616414e-04,8.997781595797398779e+00
3.470714272612038589e-03,-7.130666498709270842e-04,8.997782032020653631e+00
3.469589909269390603e-03,-7.185175507717818117e-04,8.997782424621579622e+00
3.468456985016404783e-03,-7.239666790412170681e-04,8.997782777962413547e+00
3.467315502652335013e-03,-7.294140212100701107e-04,8.997783095969165146e+00
3.466165464997197215e-03,-7.348595638159879624e-04,8.997783382175240874e+00
3.465006874891794937e-03,-7.403032934032208710e-04,8.997783639760712049e+00
3.463839735197742336e-03,-7.457451965224384284e-04,8.997783871587634152e+00
3.462664048797482828e-03,-7.511852597305683499e-04,8.997784080231863157e+00
3.461479818594304699e-03,-7.566234695906530342e-04,8.997784268011670861e+00
3.460287047512358022e-03,-7.620598126717259644e-04,8.997784437013496728e+00
3.459085738496667228e-03,-7.674942755487019867e-04,8.997784589115140008e+00
3.457875894513139786e-03,-7.729268448022827680e-04,8.997784726006619493e+00
3.456657518548578775e-03,-7.783575070188753723e-04,8.997784849208951385e+00
3.455430613610688956e-03,-7.837862487905210285e-04,8.997784960091049555e+00
3.454195182728081112e-03,-7.892130567148358247e-04,8.997785059884938264e+00
3.452951228950281587e-03,-7.946379173949594255e-04,8.997785149699437213e+00
3.451698755347730983e-03,-8.000608174395134383e-04,8.997785230532487688e+00
3.450437765011791537e-03,-8.054817434625654183e-04,8.997785303282231695e+00
3.449168261054744080e-03,-8.109006820836023050e-04,8.997785368757002189e+00
3.447890246609794113e-03,-8.163176199275071123e-04,8.997785427684293680e+00
3.446603724831068770e-03,-8.217325436245437494e-04,8.997785480718857087e+00
3.445308698893614213e-03,-8.271454398103447693e-04,8.997785528449965042e+00
3.444005171993399974e-03,-8.325562951259044301e-04,8.997785571407961314e+00
3.442693147347310276e-03,-8.379650962175756593e-04,8.997785610070158313e+00
3.441372628193146207e-03,-8.433718297370712460e-04,8.997785644866135968e+00
3.440043617789621377e-03,-8.487764823414664433e-04,8.997785676182514791e+00
3.438706119416355417e-03,-8.541790406932066662e-04,8.997785704367256443e+00
3.437360136373875281e-03,-8.595794914601163818e-04,8.997785729733523752e+00
3.436005671983604834e-03,-8.649778213154107106e-04,8.997785752563165929e+00
3.434642729587864419e-03,-8.703740169377096290e-04,8.997785773109841401e+00
3.433271312549862186e-03,-8.757680650110530405e-04,8.997785791601849326e+00
3.431891424253692355e-03,-8.811599522249186642e-04,8.997785808244657346e+00
3.430503068104325676e-03,-8.865496652742406837e-04,8.997785823223185986e+00
3.429106247527604224e-03,-8.919371908594304552e-04,8.997785836703860340e+00
3.427700965970236630e-03,-8.973225156863975406e-04,8.997785848836468148e+00
3.426287226899790272e-03,-9.027056264665719344e-04,8.997785859755813576e+00
3.424865033804682605e-03,-9.080865099169298672e-04,8.997785869583225349e+00
