ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.192737421744497794e+01,-7.156127342910088451e+00,3.770211419708795120e+01
3.191609648775042274e+01,-7.206258942982866955e+00,3.770211419708795120e+01
3.190473979364290713e+01,-7.256373864999968504e+00,3.770211419708795120e+01
3.189330418304766468e+01,-7.306471874736113037e+00,3.770211419708795120e+01
3.188178970225049014e+01,-7.356552749093152599e+00,3.770211419708795120e+01
3.187019639606534582e+01,-7.406616274989485049e+00,3.770211419708795120e+01
3.185852430798681212e+01,-7.456662248360788503e+00,3.770211419708795120e+01
3.184677348032872857e+01,-7.506690473260933416e+00,3.770211419708795120e+01
3.183494395435016955e+01,-7.556700761053020798e+00,3.770211419708795120e+01
3.182303577036999798e+01,-7.606692929681539539e+00,3.770211419708795120e+01
3.181104896787098824e+01,-7.656666803017484924e+00,3.770211419708795120e+01
3.179898358559439586e+01,-7.706622210269156170e+00,3.770211419708795120e+01
3.178683966162598651e+01,-7.756558985452039146e+00,3.770211419708795120e+01
3.177461723347412104e+01,-7.806476966911837678e+00,3.770211419708795120e+01
3.176231633814073874e+01,-7.856375996895364366e+00,3.770211419708795120e+01
3.174993701218582842e+01,-7.906255921164452971e+00,3.770211419708795120e+01
3.173747929178600913e+01,-7.956116588648615817e+00,3.770211419708795120e+01
3.172494321278770357e+01,-8.005957851132546210e+00,3.770211419708795120e+01
3.171232881075545151e+01,-8.055779562974972663e+00,3.770211419708795120e+01
3.169963612101577866e+01,-8.105581580855725221e+00,3.770211419708795120e+01
3.168686517869700481e+01,-8.155363763548194811e+00,3.770211419708795120e+01
3.167401601876543538e+01,-8.205125971714629429e+00,3.770211419708795120e+01
3.166108867605818133e+01,-8.254868067721979230e+00,3.770211419708795120e+01
3.164808318531291320e+01,-8.304589915476240591e+00,3.770211419708795120e+01
3.163499958119495048e+01,-8.354291380273430434e+00,3.770211419708795120e+01
3.162183789832177538e+01,-8.403972328665542335e+00,3.770211419708795120e+01
3.160859817128531546e+01,-8.453632628339965649e+00,3.770211419708795120e+01
3.159528043467213365e+01,-8.503272148011017606e+00,3.770211419708795120e+01
3.158188472308175321e+01,-8.552890757322394677e+00,3.770211419708795120e+01
3.156841107114330569e+01,-8.602488326759425874e+00,3.770211419708795120e+01
3.155485951353058738e+01,-8.652064727570165203e+00,3.770211419708795120e+01
3.154123008497573011e+01,-8.701619831694404894e+00,3.770211419708795120e+01
3.152752282028162512e+01,-8.751153511699863330e+00,3.770211419708795120e+01
3.151373775433314250e+01,-8.800665640724780303e+00,3.770211419708795120e+01
3.149987492210730977e+01,-8.850156092426315624e+00,3.770211419708795120e+01
3.148593435868258794e+01,-8.899624740934143574e+00,3.770211419708795120e+01
3.147191609924718847e+01,-8.949071460808722733e+00,3.770211419708795120e+01
3.145782017910670803e+01,-8.998496127003804190e+00,3.770211419708795120e+01
3.144364663369094615e+01,-9.047898614832703856e+00,3.770211419708795120e+01
3.142939549856016868e+01,-9.097278799938010252e+00,3.770211419708795120e+01
3.141506680941069618e+01,-9.146636558264338746e+00,3.770211419708795120e+01
3.140066060208006604e+01,-9.195971766033874673e+00,3.770211419708795120e+01
3.138617691255157638e+01,-9.245284299724366051e+00,3.770211419708795120e+01
3.137161577695851022e+01,-9.294574036049382926e+00,3.770211419708795120e+01
3.135697723158790140e+01,-9.343840851940573344e+00,3.770211419708795120e+01
3.134226131288394157e+01,-9.393084624531732985e+00,3.770211419708795120e+01
3.132746805745106755e+01,-9.442305231144494826e+00,3.770211419708795120e+01
3.131259750205677861e+01,-9.491502549275498524e+00,3.770211419708795120e+01
3.129764968363411981e+01,-9.540676456584861853e+00,3.770211419708795120e+01
3.128262463928398773e+01,-9.589826830885845865e+00,3.770211419708795120e+01
3.126752240627715551e+01,-9.638953550135594739e+00,3.770211419708795120e+01
3.125234302205615933e+01,-9.688056492426813548e+00,3.770211419708795120e+01
3.123708652423693621e+01,-9.737135535980330658e+00,3.770211419708795120e+01
3.122175295061034106e+01,-9.786190559138425726e+00,3.770211419708795120e+01
3.120634233914351441e+01,-9.835221440358861145e+00,3.770211419708795120e+01
3.119085472798106551e+01,-9.884228058209542311e+00,3.770211419708795120e+01
3.117529015544620563e+01,-9.933210291363733901e+00,3.770211419708795120e+01
3.115964866004170020e+01,-9.982168018595807268e+00,3.770211419708795120e+01
3.114393028045076406e+01,-1.003110111877742128e+01,3.770211419708795120e+01
3.112813505553783955e+01,-1.008000947087412058e+01,3.770211419708795120e+01
3.111226302434930702e+01,-1.012889295394232825e+01,3.770211419708795120e+01
3.109631422611412077e+01,-1.017775144712663327e+01,3.770211419708795120e+01
3.108028870024434909e+01,-1.022658482965741200e+01,3.770211419708795120e+01
3.106418648633569290e+01,-1.027539298084869657e+01,3.770211419708795120e+01
3.104800762416790860e+01,-1.032417578009629366e+01,3.770211419708795120e+01
3.103175215370522366e+01,-1.037293310687612724e+01,3.770211419708795120e+01
3.101542011509664576e+01,-1.042166484074277832e+01,3.770211419708795120e+01
3.099901154867627895e+01,-1.047037086132818118e+01,3.770211419708795120e+01
3.098252649496360789e+01,-1.051905104834050952e+01,3.770211419708795120e+01
3.096596499466369679e+01,-1.056770528156317468e+01,3.770211419708795120e+01
3.094932708866739191e+01,-1.061633344085397823e+01,3.770211419708795120e+01
3.093261281805149920e+01,-1.066493540614436952e+01,3.770211419708795120e+01
3.091582222407892289e+01,-1.071351105743879728e+01,3.770211419708795120e+01
3.089895534819878264e+01,-1.076206027481417671e+01,3.770211419708795120e+01
3.088201223204651313e+01,-1.081058293841942586e+01,3.770211419708795120e+01
3.086499291744393503e+01,-1.085907892847507306e+01,3.770211419708795120e+01
3.084789744639932962e+01,-1.090754812527294959e+01,3.770211419708795120e+01
3.083072586110746371e+01,-1.095599040917593037e+01,3.770211419708795120e+01
3.081347820394964643e+01,-1.100440566061773318e+01,3.770211419708795120e+01
3.079615451749372212e+01,-1.105279376010276948e+01,3.770211419708795120e+01
3.077875484449407750e+01,-1.110115458820603962e+01,3.770211419708795120e+01
3.076127922789165581e+01,-1.114948802557306529e+01,3.770211419708795120e+01
3.074372771081391065e+01,-1.119779395291985225e+01,3.770211419708795120e+01
3.072610033657481665e+01,-1.124607225103291164e+01,3.770211419708795120e+01
3.070839714867480907e+01,-1.129432280076926887e+01,3.770211419708795120e+01
3.069061819080074116e+01,-1.134254548305653643e+01,3.770211419708795120e+01
3.067276350682586639e+01,-1.139074017889299029e+01,3.770211419708795120e+01
3.065483314080974608e+01,-1.143890676934767470e+01,3.770211419708795120e+01
3.063682713699822813e+01,-1.148704513556051943e+01,3.770211419708795120e+01
3.061874553982335101e+01,-1.153515515874247832e+01,3.770211419708795120e+01
3.060058839390329410e+01,-1.158323672017569272e+01,3.770211419708795120e+01
3.058235574404229951e+01,-1.163128970121364603e+01,3.770211419708795120e+01
3.056404763523058676e+01,-1.167931398328135018e+01,3.770211419708795120e+01
3.054566411264428183e+01,-1.172730944787554108e+01,3.770211419708795120e+01
3.052720522164533179e+01,-1.177527597656486691e+01,3.770211419708795120e+01
