accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.020012896868054131e-01,1.554764289257592417e-03,-9.793269088679643630e+00
1.904916995059158236e-01,-6.480169493476443769e-03,-9.789517303400369741e+00
2.751414212392153669e-01,-6.061199201572831097e-03,-9.789265193947782606e+00
3.420883644813971780e-01,1.018618519202885674e-02,-9.791443977327029202e+00
4.047117465712759543e-01,-3.472026192084403523e-03,-9.793017915540483287e+00
4.705940721884138145e-01,6.645713222284593651e-03,-9.793109589528400605e+00
5.248318796094143535e-01,1.148202260725014355e-03,-9.797133126625025668e+00
5.662556066036926739e-01,1.206188029184564236e-03,-9.795845459912987607e+00
6.152174586521207411e-01,-3.597848952255572851e-03,-9.787797184119057192e+00
6.500920057599862689e-01,3.726747274481247499e-03,-9.795765447551659122e+00
6.869403954636424947e-01,-1.629459917579958398e-03,-9.786408922840056590e+00
7.165201042258725339e-01,-3.906348444104174901e-03,-9.791348528757575664e+00
7.472718005753663517e-01,-7.291334609465249111e-03,-9.794626412674043436e+00
7.689214188706341435e-01,-5.208173509357722636e-03,-9.807603457718641948e+00
7.963571602682649742e-01,-3.964854181231556966e-03,-9.790830979656794497e+00
8.062844933413583215e-01,5.789028632991310291e-03,-9.783005513445173662e+00
8.284815449731447456e-01,1.113699901520875078e-02,-9.800396581175590427e+00
8.470894662516548212e-01,2.460329162300644866e-05,-9.792971438056417455e+00
8.751138334790093953e-01,-4.183396288024027188e-03,-9.798394102303156217e+00
8.899502446417900670e-01,-5.715735693313267474e-03,-9.791849098505078786e+00
8.882425599111871684e-01,-6.643374545263794687e-03,-9.788508497983649193e+00
8.951797041696638590e-01,2.389361929499614432e-03,-9.792954507948186560e+00
9.147364616318865993e-01,1.478735019047447874e-04,-9.789355842523370654e+00
9.231378671252343793e-01,-7.857832437692375757e-03,-9.790659170897349384e+00
9.253496520885443610e-01,-5.485500876956320854e-03,-9.798675559831664827e+00
9.300896031961648491e-01,1.199293399049315223e-03,-9.799606468912443802e+00
9.396626933725571451e-01,1.050472309151265346e-03,-9.789950704535959503e+00
9.497788202999818408e-01,-1.648717049567164023e-03,-9.793943711588839918e+00
9.581768058691597645e-01,-2.491118320841796338e-03,-9.793494044007887922e+00
9.557991186455050414e-01,-6.640962441338433934e-03,-9.790843691382610459e+00
9.650873193608374701e-01,-3.863666820515267142e-04,-9.796259468618215394e+00
9.574883600919614768e-01,-1.158655582357589640e-03,-9.802336144208975810e+00
9.770371445070747951e-01,-3.726360455058612495e-03,-9.797677390698298794e+00
9.681804628727835871e-01,-7.166608661720657962e-03,-9.791666911968686549e+00
9.807585947794011938e-01,-1.094990856286851217e-03,-9.788530943345941537e+00
9.771264030825635993e-01,-2.936466424037764093e-03,-9.801521199052864119e+00
