ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.835767967317392557e-01,-1.499776074310320891e-03,-9.793536046613102286e+00
9.852191170585653524e-01,-1.500503127538882053e-03,-9.793535985199254057e+00
9.866972053527087727e-01,-1.501231394741908655e-03,-9.793535923650608765e+00
9.880274848174378510e-01,-1.501960754534123433e-03,-9.793535861977524348e+00
9.892247363356940770e-01,-1.502691097668778022e-03,-9.793535800189328455e+00
9.903022627021246249e-01,-1.503422325823799716e-03,-9.793535738294416149e+00
9.912720364319121957e-01,-1.504154350509324207e-03,-9.793535676300351156e+00
9.921448327887210095e-01,-1.504887092084474486e-03,-9.793535614213938700e+00
9.929303495098489307e-01,-1.505620478872464517e-03,-9.793535552041308989e+00
9.936373145588640599e-01,-1.506354446364188346e-03,-9.793535489787984716e+00
9.942735831029776428e-01,-1.507088936501454471e-03,-9.793535427458932574e+00
9.948462247926799229e-01,-1.507823897031892709e-03,-9.793535365058628983e+00
9.953616023134119750e-01,-1.508559280928373691e-03,-9.793535302591104497e+00
9.958254420820707997e-01,-1.509295045866484997e-03,-9.793535240059988212e+00
9.962428978738636642e-01,-1.510031153754259111e-03,-9.793535177468545072e+00
9.966186080864772867e-01,-1.510767570308928871e-03,-9.793535114819716725e+00
9.969567472778295691e-01,-1.511504264676008643e-03,-9.793535052116157047e+00
9.972610725500465900e-01,-1.512241209086465912e-03,-9.793534989360248133e+00
9.975349652950419310e-01,-1.512978378548176421e-03,-9.793534926554137598e+00
9.977814687655377490e-01,-1.513715750568231161e-03,-9.793534863699756343e+00
9.980033218889839963e-01,-1.514453304903018655e-03,-9.793534800798852302e+00
9.982029897000855856e-01,-1.515191023333293347e-03,-9.793534737852993999e+00
9.983826907300770159e-01,-1.515928889461738358e-03,-9.793534674863586531e+00
9.985444216570693587e-01,-1.516666888530774629e-03,-9.793534611831905323e+00
9.986899794913624007e-01,-1.517405007258586843e-03,-9.793534548759097902e+00
9.988209815422262050e-01,-1.518143233691543123e-03,-9.793534485646187449e+00
9.989388833880036289e-01,-1.518881557071384602e-03,-9.793534422494110103e+00
9.990449950492032993e-01,-1.519619967715681074e-03,-9.793534359303695425e+00
9.991404955442829694e-01,-1.520358456910251036e-03,-9.793534296075700141e+00
9.992264459898546614e-01,-1.521097016812337664e-03,-9.793534232810802820e+00
9.993038013908691619e-01,-1.521835640363463889e-03,-9.793534169509607423e+00
9.993734212517821902e-01,-1.522574321211007725e-03,-9.793534106172669951e+00
9.994360791266039268e-01,-1.523313053637613329e-03,-9.793534042800482453e+00
9.994924712139435785e-01,-1.524051832497666948e-03,-9.793533979393490796e+00
9.995432240925492540e-01,-1.524790653160121735e-03,-9.793533915952096436e+00
9.995889016832942842e-01,-1.525529511457041510e-03,-9.793533852476659973e+00
9.996300115149648891e-01,-1.526268403637288853e-03,-9.793533788967506482e+00
9.996670103634683890e-01,-1.527007326324846632e-03,-9.793533725424927283e+00
9.997003093271215057e-01,-1.527746276481304830e-03,-9.793533661849190608e+00
9.997302783944093107e-01,-1.528485251372099568e-03,-9.793533598240530935e+00
9.997572505549683353e-01,-1.529224248536130730e-03,-9.793533534599163204e+00
9.997815254994715239e-01,-1.529963265758411657e-03,-9.793533470925275708e+00
9.998033729495243715e-01,-1.530702301045462751e-03,-9.793533407219046083e+00
9.998230356545719788e-01,-1.531441352603156447e-03,-9.793533343480632425e+00
9.998407320891147254e-01,-1.532180418816784812e-03,-9.793533279710171513e+00
9.998566588802032529e-01,-1.532919498233115347e-03,-9.793533215907791245e+00
9.998709929921829609e-01,-1.533658589544246347e-03,-9.793533152073603532e+00
9.998838936929647092e-01,-1.534397691573071223e-03,-9.793533088207713178e+00
9.998955043236682494e-01,-1.535136803260199120e-03,-9.793533024310214330e+00
9.999059538913014356e-01,-1.535875923652185683e-03,-9.793532960381185148e+00
9.999153585021712809e-01,-1.536615051890936499e-03,-9.793532896420703793e+00
9.999238226519541195e-01,-1.537354187204170893e-03,-9.793532832428837764e+00
9.999314403867587409e-01,-1.538093328896845014e-03,-9.793532768405645683e+00
9.999382963480828446e-01,-1.538832476343423216e-03,-9.793532704351186169e+00
9.999444667132745268e-01,-1.539571628980928751e-03,-9.793532640265507183e+00
9.999500200419471074e-01,-1.540310786302691174e-03,-9.793532576148647806e+00
9.999550180377524411e-01,-1.541049947852710230e-03,-9.793532512000654222e+00
9.999595162339771637e-01,-1.541789113220593281e-03,-9.793532447821558407e+00
9.999635646105794473e-01,-1.542528282036992543e-03,-9.793532383611401215e+00
9.999672081495214471e-01,-1.543267453969500089e-03,-9.793532319370198636e+00
9.999704873345692802e-01,-1.544006628718955698e-03,-9.793532255097987971e+00
9.999734386011123188e-01,-1.544745806016121180e-03,-9.793532190794781656e+00
9.999760947410011314e-01,-1.545484985618686457e-03,-9.793532126460616993e+00
9.999784852669010293e-01,-1.546224167308580524e-03,-9.793532062095497537e+00
9.999806367402108709e-01,-1.546963350889544141e-03,-9.793531997699448155e+00
9.999825730661897616e-01,-1.547702536184950147e-03,-9.793531933272484835e+00
9.999843157595708076e-01,-1.548441723035840845e-03,-9.793531868814618235e+00
9.999858841836136714e-01,-1.549180911299158359e-03,-9.793531804325864343e+00
9.999872957652522487e-01,-1.549920100846158668e-03,-9.793531739806232039e+00
9.999885661887270016e-01,-1.550659291560976772e-03,-9.793531675255731983e+00
9.999897095698543348e-01,-1.551398483339339962e-03,-9.793531610674371279e+00
9.999907386128689124e-01,-1.552137676087410106e-03,-9.793531546062164139e+00
