ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.601792006164406586e-03,-1.896986148852362051e-04,-2.117403551245386050e-03
3.601791936060022917e-03,-1.897888180292638810e-04,-2.117403670495870537e-03
3.601791865922300464e-03,-1.898790212341143772e-04,-2.117403789803057931e-03
3.601791795751237493e-03,-1.899692244936974591e-04,-2.117403909166946929e-03
3.601791725546836173e-03,-1.900594278025319697e-04,-2.117404028587538834e-03
3.601791655309096504e-03,-1.901496311556848161e-04,-2.117404148064831911e-03
3.601791585038016316e-03,-1.902398345487163261e-04,-2.117404267598827893e-03
3.601791514733598213e-03,-1.903300379776304827e-04,-2.117404387189526348e-03
3.601791444395839592e-03,-1.904202414388313127e-04,-2.117404506836927276e-03
3.601791374024741754e-03,-1.905104449290821473e-04,-2.117404626541030243e-03
3.601791303620304700e-03,-1.906006484454700334e-04,-2.117404746301835682e-03
3.601791233182528428e-03,-1.906908519853733430e-04,-2.117404866119343160e-03
3.601791162711413374e-03,-1.907810555464325270e-04,-2.117404985993553979e-03
3.601791092206958235e-03,-1.908712591265240941e-04,-2.117405105924466836e-03
3.601791021669163879e-03,-1.909614627237368127e-04,-2.117405225912081732e-03
3.601790951098030307e-03,-1.910516663363506502e-04,-2.117405345956399100e-03
3.601790880493557952e-03,-1.911418699628175287e-04,-2.117405466057419375e-03
3.601790809855745512e-03,-1.912320736017441127e-04,-2.117405586215141688e-03
3.601790739184593856e-03,-1.913222772518765225e-04,-2.117405706429566475e-03
3.601790668480102982e-03,-1.914124809120862120e-04,-2.117405826700694167e-03
3.601790597742272459e-03,-1.915026845813574193e-04,-2.117405947028523899e-03
3.601790526971102718e-03,-1.915928882587761078e-04,-2.117406067413056103e-03
3.601790456166592894e-03,-1.916830919435194493e-04,-2.117406187854290779e-03
3.601790385328744720e-03,-1.917732956348469880e-04,-2.117406308352228362e-03
3.601790314457556028e-03,-1.918634993320923732e-04,-2.117406428906867984e-03
3.601790243553028119e-03,-1.919537030346557158e-04,-2.117406549518210078e-03
3.601790172615160993e-03,-1.920439067419973543e-04,-2.117406670186254645e-03
3.601790101643954651e-03,-1.921341104536313763e-04,-2.117406790911002118e-03
3.601790030639408658e-03,-1.922243141691205230e-04,-2.117406911692451630e-03
3.601789959601522581e-03,-1.923145178880713646e-04,-2.117407032530603615e-03
3.601789888530297287e-03,-1.924047216101296110e-04,-2.117407153425458072e-03
3.601789817425733210e-03,-1.924949253349765338e-04,-2.117407274377015002e-03
3.601789746287828616e-03,-1.925851290623252531e-04,-2.117407395385274404e-03
