ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000180407622636e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000360824264973e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000541258046312e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000721716273162e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000902205520532e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001082731706887e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001263300159877e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001443915671402e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001624582558009e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001805304701037e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001986085595291e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002166928387055e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002347835906065e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002528810700682e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002709855062406e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002890971056786e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003072160539048e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003253425182166e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003434766490003e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003616185815787e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003797684379165e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003979263276506e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004160923494396e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004342665921016e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004524491356435e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004706400520078e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004888394059250e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045005070472555886e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045005252636536497e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045005434886472528e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045005617222787464e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045005799645864997e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045005982156049029e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045006164753649358e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045006347438944516e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045006530212186036e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045006713073598803e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045006896023386389e+01,1.144699999999999989e+02,0.000000000000000000e+00
