ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000100000000000122e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000290000000000035e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000561000000000078e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000904900000000097e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.001314410000000166e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.001782969000000278e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.002304672100000360e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.002874204890000343e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.003486784401000165e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.004138105960900162e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.004824295364810283e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.005541865828329406e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.006287679245496491e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.007058911320946848e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.007853020188852256e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.008667718169967031e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.009500946352970274e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.010350851717673137e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.011215766545905836e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.012094189891315210e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.012984770902183840e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.013886293811965444e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.014797664430768975e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.015717897987692098e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.016646108188922781e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.017581497370030519e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.018523347633027498e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.019471012869724902e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.020423911582752297e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.021381520424477074e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.022343368382029283e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.023309031543826464e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.024278128389443765e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.025250315550499280e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.026225283995449189e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.027202755595904193e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.028182480036313606e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.029164232032682236e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.030147808829413947e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.031133027946472680e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.032119725151825307e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.033107752636642829e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.034096977372978543e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.035087279635680702e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.036078551672112624e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.037070696504901335e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.038063626854411226e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.039057264168970107e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.040051537752072974e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.041046383976865641e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.042041745579178880e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.043037571021260845e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.044033813919134701e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.045030432527221009e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.046027389274498987e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.047024650347049146e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.048022185312344234e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.049019966781109758e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.050017970102998888e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.051016173092698835e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.052014555783429017e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.053013100205086161e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.054011790184577535e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.055010611166119716e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.056009550049507695e+01,0.000000000000000000e+00,0.000000000000000000e+00
